zone,state,lga,sector,ea,hhid,indiv,s2q2,s2q3,s2q4,s2q4_os,s2q5,s2q6,s2q7a,s2q7,s2q7_os,s2q8,s2q8_os,s2q9,s2q9_os
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,1,2. NO,1. YES,,,1. MALE,66,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,2,2. NO,1. YES,,,2. FEMALE,51,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,5,2. NO,1. YES,,,2. FEMALE,6,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,6,2. NO,1. YES,,,2. FEMALE,3,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,1,2. NO,1. YES,,,1. MALE,45,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,3,2. NO,1. YES,,,2. FEMALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,4,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,5,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,301,2. NO,1. YES,,,2. FEMALE,0,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,1,2. NO,1. YES,,,1. MALE,71,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,2,2. NO,1. YES,,,2. FEMALE,61,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,3,2. NO,1. YES,,,1. MALE,26,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,101,2. NO,1. YES,,,2. FEMALE,33,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19073,1,2. NO,1. YES,,,1. MALE,69,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19073,2,2. NO,1. YES,,,2. FEMALE,56,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19073,3,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19073,4,2. NO,1. YES,,,1. MALE,41,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19073,5,2. NO,1. YES,,,2. FEMALE,31,1. YES,14. OTHER RELATION (SPECIFY),DAUGHTER-IN-LAW,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19075,1,2. NO,1. YES,,,1. MALE,73,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19075,2,2. NO,1. YES,,,2. FEMALE,66,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19075,3,2. NO,1. YES,,,2. FEMALE,36,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19075,4,2. NO,1. YES,,,2. FEMALE,26,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19075,5,2. NO,1. YES,,,1. MALE,5,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19075,6,2. NO,1. YES,,,1. MALE,2,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,1,2. NO,1. YES,,,2. FEMALE,40,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,2,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,3,2. NO,1. YES,,,1. MALE,16,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,6,2. NO,1. YES,,,1. MALE,4,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,101,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,102,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19081,1,2. NO,1. YES,,,2. FEMALE,61,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19081,2,2. NO,1. YES,,,1. MALE,33,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19081,3,2. NO,1. YES,,,2. FEMALE,36,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19081,4,2. NO,1. YES,,,2. FEMALE,21,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19082,1,2. NO,1. YES,,,2. FEMALE,53,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19082,2,2. NO,1. YES,,,1. MALE,34,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19082,3,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19087,1,2. NO,1. YES,,,1. MALE,64,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19087,2,2. NO,1. YES,,,2. FEMALE,35,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19087,3,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19087,4,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19088,1,2. NO,1. YES,,,1. MALE,57,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19088,2,2. NO,1. YES,,,2. FEMALE,49,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19088,6,2. NO,1. YES,,,2. FEMALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19091,1,2. NO,1. YES,,,1. MALE,69,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19091,101,2. NO,1. YES,,,2. FEMALE,48,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19093,1,2. NO,1. YES,,,2. FEMALE,54,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19093,4,2. NO,1. YES,,,2. FEMALE,29,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19093,5,2. NO,1. YES,,,1. MALE,3,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19093,6,2. NO,1. YES,,,2. FEMALE,1,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19093,401,1. YES,,,,2. FEMALE,0,1. YES,6. GRANDCHILD,,1. NEW BORN,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19095,1,2. NO,1. YES,,,1. MALE,81,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19095,2,2. NO,1. YES,,,2. FEMALE,61,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19095,3,2. NO,1. YES,,,1. MALE,11,1. YES,12. DOMESTIC HELP (RESIDENT),,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19095,101,2. NO,1. YES,,,1. MALE,7,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19095,102,2. NO,1. YES,,,1. MALE,4,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,1,2. NO,1. YES,,,1. MALE,36,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,2,2. NO,1. YES,,,2. FEMALE,30,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,3,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,4,2. NO,1. YES,,,2. FEMALE,10,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,5,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,6,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,7,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,8,2. NO,1. YES,,,2. FEMALE,1,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19103,1,2. NO,1. YES,,,2. FEMALE,51,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19103,2,2. NO,2. NO,3. LEFT FOR WORK,,,,1. YES,,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19103,3,2. NO,1. YES,,,1. MALE,21,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19112,1,2. NO,1. YES,,,1. MALE,79,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19112,2,2. NO,1. YES,,,2. FEMALE,67,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,1,2. NO,1. YES,,,1. MALE,33,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,3,2. NO,1. YES,,,2. FEMALE,56,1. YES,10. PARENT,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,4,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,5,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,101,2. NO,1. YES,,,1. MALE,28,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,102,2. NO,1. YES,,,1. MALE,24,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,103,2. NO,1. YES,,,2. FEMALE,12,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,104,2. NO,1. YES,,,1. MALE,14,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,201,2. NO,1. YES,,,2. FEMALE,20,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19116,1,2. NO,1. YES,,,1. MALE,76,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19116,2,2. NO,1. YES,,,2. FEMALE,53,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19116,4,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19117,1,2. NO,1. YES,,,1. MALE,61,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19117,2,2. NO,1. YES,,,2. FEMALE,56,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19117,3,2. NO,1. YES,,,2. FEMALE,14,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19117,4,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19117,5,2. NO,1. YES,,,2. FEMALE,8,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19118,1,2. NO,1. YES,,,1. MALE,57,1. YES,1. HEAD,,,,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19118,3,2. NO,1. YES,,,2. FEMALE,53,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19123,2,2. NO,1. YES,,,2. FEMALE,51,1. YES,1. HEAD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19123,4,2. NO,1. YES,,,1. MALE,31,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19129,1,2. NO,1. YES,,,1. MALE,76,1. YES,1. HEAD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19129,2,2. NO,1. YES,,,2. FEMALE,64,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19129,101,2. NO,1. YES,,,2. FEMALE,35,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19129,102,2. NO,1. YES,,,2. FEMALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19129,103,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,1,2. NO,1. YES,,,1. MALE,37,1. YES,1. HEAD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,2,2. NO,1. YES,,,2. FEMALE,32,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,3,2. NO,1. YES,,,2. FEMALE,8,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,4,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,5,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,101,2. NO,1. YES,,,1. MALE,1,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,1,2. NO,1. YES,,,1. MALE,49,1. YES,1. HEAD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,2,2. NO,1. YES,,,2. FEMALE,41,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,3,2. NO,1. YES,,,1. MALE,18,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,4,2. NO,1. YES,,,1. MALE,16,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,5,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,6,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,7,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19135,1,2. NO,1. YES,,,2. FEMALE,57,1. YES,1. HEAD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19135,2,2. NO,1. YES,,,1. MALE,25,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19135,5,2. NO,1. YES,,,2. FEMALE,31,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19135,101,2. NO,1. YES,,,2. FEMALE,22,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19135,301,2. NO,1. YES,,,2. FEMALE,10,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19138,1,2. NO,1. YES,,,1. MALE,69,1. YES,1. HEAD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19138,2,2. NO,1. YES,,,2. FEMALE,64,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19138,5,2. NO,1. YES,,,2. FEMALE,12,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19148,1,2. NO,1. YES,,,1. MALE,29,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19148,2,2. NO,1. YES,,,1. MALE,19,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19148,101,2. NO,1. YES,,,1. MALE,0,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19150,1,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19150,2,2. NO,1. YES,,,1. MALE,51,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19150,3,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19150,4,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,1,2. NO,1. YES,,,1. MALE,51,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,2,2. NO,1. YES,,,2. FEMALE,43,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,3,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,4,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,5,2. NO,1. YES,,,1. MALE,1,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,101,2. NO,1. YES,,,2. FEMALE,0,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19152,1,2. NO,1. YES,,,1. MALE,38,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19153,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19153,2,2. NO,1. YES,,,2. FEMALE,40,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19153,4,2. NO,1. YES,,,2. FEMALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19153,5,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19153,6,2. NO,1. YES,,,2. FEMALE,4,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19153,101,2. NO,1. YES,,,2. FEMALE,0,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,1,2. NO,1. YES,,,1. MALE,52,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,2,2. NO,1. YES,,,2. FEMALE,47,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,4,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,5,2. NO,1. YES,,,2. FEMALE,14,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,6,2. NO,1. YES,,,2. FEMALE,10,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,7,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19165,1,2. NO,1. YES,,,1. MALE,81,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19165,101,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,1,2. NO,1. YES,,,1. MALE,43,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,2,2. NO,1. YES,,,2. FEMALE,38,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,3,2. NO,1. YES,,,2. FEMALE,8,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,4,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,5,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,6,2. NO,1. YES,,,2. FEMALE,69,1. YES,10. PARENT,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19167,1,2. NO,1. YES,,,2. FEMALE,61,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19167,2,2. NO,1. YES,,,2. FEMALE,19,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19167,3,2. NO,1. YES,,,1. MALE,17,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19167,4,2. NO,1. YES,,,1. MALE,15,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19167,5,2. NO,1. YES,,,1. MALE,11,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19167,6,2. NO,1. YES,,,2. FEMALE,5,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19168,1,2. NO,1. YES,,,1. MALE,43,1. YES,1. HEAD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19168,2,2. NO,1. YES,,,2. FEMALE,33,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19168,3,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19168,4,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,1,2. NO,1. YES,,,2. FEMALE,53,1. YES,1. HEAD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,2,2. NO,1. YES,,,2. FEMALE,33,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,3,2. NO,1. YES,,,1. MALE,24,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,4,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,5,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,6,2. NO,1. YES,,,2. FEMALE,28,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,7,2. NO,1. YES,,,2. FEMALE,86,1. YES,11. PARENT-IN-LAW,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,2,2. NO,1. YES,,,2. FEMALE,39,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,3,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,4,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,5,2. NO,1. YES,,,1. MALE,4,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,101,2. NO,1. YES,,,1. MALE,18,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,102,2. NO,1. YES,,,2. FEMALE,16,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,103,2. NO,1. YES,,,1. MALE,20,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19175,1,2. NO,1. YES,,,1. MALE,83,1. YES,1. HEAD,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19175,2,2. NO,1. YES,,,2. FEMALE,71,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19177,1,2. NO,1. YES,,,1. MALE,51,1. YES,1. HEAD,,,,,
