zone,state,lga,sector,ea,hhid,interviewer_id,wt_round3,wt_r3panel,s2q0a,s2q0b,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q1c,s5q1d,s5q1e,s5q2,s5q3,s5q4,s5q4_os,filter2,s5q3a,s5q3b,s5q3c__1,s5q3c__2,s5q3c__3,s5q3c__4,s5q3c__5,s5q3c__6,s5q3c__96,s5q3c_os,s5q3d,s5q3e,s5q3f__1,s5q3f__2,s5q3f__3,s5q3f__4,s5q3f__96,s5q3f_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q11,s5q12,s5q13__1,s5q13__2,s5q13__3,s5q13__4,s5q13__96,s5q13_os,s5q13a,s5q13b__1,s5q13b__2,s5q13b__3,s5q13b__96,s5q13b_os,s5q14,s5q15,s5q16,s5q17__1,s5q17__2,s5q17__3,s5aq1,s5aq2,s5aq2_os,s5aq3__1,s5aq3__2,s5aq3__3,s5aq3__4,s5aq3__5,s5aq3__6,s5aq3__7,s5aq3__8,s5aq3__9,s5aq3__10,s5aq3__11,s5aq3__12,s5aq3__96,s5aq3_os,s5aq4,s5aq5,s5aq6a,s5aq6b,s5aq7__1,s5aq7__2,s5aq7__3,s5aq7__4,s5aq7__96,s5aq7_os,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8f__1,s6q8f__2,s6q8f__3,s6q8f__4,s6q8f__5,s6q8f__6,s6q8f__7,s6q8f__8,s6q8f__96,s6q8f_os,s6q8g,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11c,s6q12,s6q13,s6q14,s6q14_os,s6q15a,s6q15b,s6q16a,s6aq1,s6aq1b,s6q2a,s6q2b,s6q2c,s6q2d,s6q2e,s6aq3a,s6aq4__1,s6aq4__2,s6aq4__3,s6aq4__4,s6aq4__5,s6aq4__6,s6aq4__96,s6aq4_os,s6aq3b,s6aq5__1,s6aq5__2,s6aq5__3,s6aq5__4,s6aq5__5,s6aq5__6,s6aq5__96,s6aq5_os,s6aq3c,s6aq6__1,s6aq6__2,s6aq6__3,s6aq6__4,s6aq6__5,s6aq6__6,s6aq6__96,s6aq6_os,s6aq3d,s6aq7__1,s6aq7__2,s6aq7__3,s6aq7__4,s6aq7__5,s6aq7__96,s6aq7_os,s6aq3e,s6aq8__1,s6aq8__2,s6aq8__3,s6aq8__4,s6aq8__5,s6aq8__96,s6aq8_os,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,filter,s12q4a,s12q4b,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59108,12,4791.257732752636,4884.865929174379,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. Most of the time,1. All of the time,0. NONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,1. YES,2. PERSONAL,2. PRIVATE TRANSPORT,0,1,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,"Buy and sell tomatoes, pepper and onions","5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,96. OTHER (SPECIFY),INCREASE IN PRICE OF THE FOOD ITEMS HE BUYS TO SELL,2. NO,,1. YES,,1,1. YES,1. YES,2. NO,2. NO,2. NO,3. HAVE NOT TRIED TO PURCHASE / ACCESS,,,,,,,,,2. NO,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-06T10:59:28
2. North East,5. Bauchi,508. GANJUWA,2. Rural,2196,59110,13,13386.135901016001,14565.337994632097,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,4. Some of the time,1. ONE,1. YES,1. YES,,,1. YES,1. YES,2. NO,0,1,0,0,0,0,0,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,GRINDING MACHINE,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. Higher,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-14T10:39:41
2. North East,5. Bauchi,508. GANJUWA,2. Rural,2196,59111,13,13386.135901016001,14565.337994632097,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,4. Some of the time,1. ONE,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,0,0,0,0,1,0,0,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,"BUYING AND SELLING OF INGRRDIENTS SUCH AS SALT, MAGGI ETC","5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,,1. YES,,1,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,,,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-13T13:51:19
2. North East,5. Bauchi,511. JAMA'ARE,2. Rural,796,59124,19,5784.274341520304,6163.324634085401,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,4. Some of the time,5. FIVE OR MORE,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,2. NO,1. YES,2. NO,2. NO,1. YES,,,,,,,,,,2. NO,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-17T17:17:33
2. North East,5. Bauchi,511. JAMA'ARE,2. Rural,796,59125,13,6214.148646736828,6567.049576936424,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,"BUYING AND SELLING OF RED OIL, SALT , MAGGI ETC","5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-13T07:26:02
2. North East,5. Bauchi,514. MISAU,2. Rural,1964,59133,19,7739.277963482878,8446.085191558685,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,2. TWO,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,2. NO,1. YES,1. YES,2. NO,2. NO,,,,,,,,,,1. YES,,,,,,,,,2. NO,0,0,0,0,0,0,1,WILL USE IT BUT NOT NOW,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-06T10:05:55
2. North East,5. Bauchi,514. MISAU,2. Rural,1964,59136,13,4382.0972177955355,4633.836699415941,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,4. Some of the time,4. Some of the time,1. ONE,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,SELLING OF AKARA AND AWARA,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-13T16:31:43
2. North East,5. Bauchi,514. MISAU,2. Rural,1964,59143,12,4439.769424913336,4740.465187410363,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,4. Some of the time,1. All of the time,5. FIVE OR MORE,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,1. YES,,,,45,2. Same number of hours,1,0,1,1,0,1,0,0,0,,5. Strongly follow,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,96. OTHER (SPECIFY),NO MORE MONEY TO CONTINUE FOR NOW,General buying and selling like animals and food items,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,2,1. YES,,1,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,,,,,,,,,,2. NO,0,0,0,0,1,0,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-06T09:42:02
2. North East,5. Bauchi,516. SHIRA,2. Rural,134,59147,21,7683.514675530061,7828.070150204939,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. All of the time,3. About half of the time,2. TWO,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,0,0,0,1,0,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,2. NO,1. YES,2. NO,2. NO,1. YES,,,,,,,,,,2. NO,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,2. NO,0,2020-07-13T17:48:33
2. North East,5. Bauchi,516. SHIRA,2. Rural,134,59149,12,9846.336140473135,10047.65800483959,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,5. FIVE OR MORE,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,SELLS POTS AND PLATES AND RUBBERS,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,3,1. YES,,101,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,3. HAVE NOT TRIED TO PURCHASE / ACCESS,,,,,,,,2. NO,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,101,3. HAUSA,,1. YES,0,2020-07-10T08:20:42
2. North East,5. Bauchi,516. SHIRA,2. Rural,134,59151,21,6410.6549196391115,6688.741518101099,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,3. THREE,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,12. NOT FARMING SEASON,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,TAILORING,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",1. Higher,,,1. YES,2,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,2. NO,0,2020-07-06T11:56:08
2. North East,5. Bauchi,516. SHIRA,2. Rural,134,59154,21,7683.514675530061,7828.070150204939,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. Most of the time,2. Most of the time,2. TWO,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,1,0,1,1,1,0,0,,1. YES,1. YES,,,,,,,1. YES,0,0,1,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,,,,,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,2. Temporarily closed,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,SELLING AND REPAIRING OF PHONES,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,0,0,0,0,1,0,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,2. NO,0,2020-07-07T09:17:43
2. North East,5. Bauchi,516. SHIRA,2. Rural,134,59156,13,11705.640799161958,11751.2298534348,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,1,0,1. YES,1. YES,,,,,,,1. All of the time,2. Most of the time,1. ONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,BUYING AND SELLING OF GROUNDNUT OIL AND FLOUR,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-12T13:30:05
2. North East,5. Bauchi,517. TAFAWA BALEWA,2. Rural,1424,59157,12,30432.399043493533,31397.786233728406,2. NO,2. NO,1. YES,2. NO,0,0,0,0,1,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,3. THREE,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,4. CAN'T GET INPUTS,,SELLS COOKING STUFFS LIKE OIL AND SPICES,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,1,SOLD OUT HIS ANIMALS,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,NOT ENOUGH MONEY TO HIRE,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-10T15:29:10
2. North East,5. Bauchi,517. TAFAWA BALEWA,2. Rural,1424,59158,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,3. REFUSED,,,,,,2020-07-16T08:25:24
2. North East,5. Bauchi,517. TAFAWA BALEWA,2. Rural,1424,59159,1,24806.66782146519,25254.003260924706,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. Most of the time,1. All of the time,1. ONE,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,0,0,1,1,1,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT ROUND 2,,1. Open,,,selling of goods like oil,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,2,2020-07-08T11:42:18
